"Ref","Val","Package","PosX","PosY","Rot","Side"
"C1","0.9pF/50V","SM0402C",17.526,51.689,180,"top"
"C2","100nF/16V","SM0402C",16.002,52.07,90,"top"
"C3","100nF/16V","SM0402C",18.796,51.181,-90,"top"
"C4","3.3nF/50V","SM0402C",5.461,49.403,90,"top"
"C5","100nF/16V","SM0402C",9.9314,46.9138,-90,"top"
"C6","10nF/50V","SM0402C",19.685,51.943,-90,"top"
"C7","3.3nF/50V","SM0402C",21.463,51.562,-90,"top"
"C8","1uF/16V","SM0603C",21.082,50.038,0,"top"
"C9","15pF/50V","SM0402C",21.209,44.069,0,"top"
"C10","100nF/16V","SM0402C",19.939,41.8338,-90,"top"
"C11","1uF/16V","SM0603C",10.16,43.688,180,"top"
"C12","12pF/50V","SM0402C",21.082,48.895,0,"top"
"C13","12pF/50V","SM0402C",21.209,44.958,0,"top"
"C14","18pF/50V","SM0402C",8.255,50.8,180,"top"
"C15","18pF/50V","SM0402C",8.382,45.974,0,"top"
"C16","100nF/16V","SM0402C",9.271,40.132,0,"top"
"C17","100nF/16V","SM0402C",8.001,41.91,180,"top"
"C18","1uF/16V","SM0603C",8.128,43.5864,90,"top"
"C19","15pF/50V","SM0402C",8.001,41.021,180,"top"
"C20","100nF/16V","SM0402C",12.64285,52.63515,90,"top"
"C21","10uF/16V","SM0805C",8.89,52.07,180,"top"
"C22","1uF/16V","SM0603C",11.303,51.8922,-90,"top"
"C23","15pF/50V","SM0402C",14.732,52.451,0,"top"
"C24","15pF/50V","SM0402C",8.763,38.862,-90,"top"
"C25","100nF/16V","SM0402C",9.652,38.862,-90,"top"
"C31","100nF/16V","SM0402C",11.684,33.274,0,"top"
"C32","100nF/50V","SM0603C",5.207,38.354,90,"top"
"C41","10uF/16V","SM0805C",23.749,22.86,180,"top"
"C42","47uF/16V","SMD-C-6032",21.844,34.925,0,"top"
"C43","100nF/16V","SM0402C",21.336,24.638,-90,"top"
"C62","100nF/16V","SM0402C",5.207,21.971,90,"top"
"C63","100nF/16V","SM0402C",6.096,21.971,90,"top"
"C64","100nF/16V","SM0402C",7.366,21.463,180,"top"
"C65","100nF/16V","SM0402C",14.605,22.479,-90,"top"
"C66","100nF/16V","SM0402C",16.256,27.686,-90,"top"
"C67","100nF/16V","SM0402C",7.366,28.956,180,"top"
"C68","100nF/16V","SM0402C",7.366,28.067,180,"top"
"C69","18pF/50V","SM0402C",5.715,23.241,180,"top"
"C70","18pF/50V","SM0402C",5.715,28.067,0,"top"
"C71","100nF/16V","SM0402C",4.953,32.004,-90,"top"
"C72","10uF/16V","SM0805C",6.0452,30.226,0,"top"
"C73","15pF/50V","SM0402C",7.62,32.004,90,"top"
"C74","100nF/16V","SM0402C",6.731,32.004,90,"top"
"C75","100nF/16V","SM0402C",17.907,33.782,90,"top"
"C81","100nF/50V","SM0402C",21.209,5.207,180,"top"
"C82","15pF/50V","SM0402C",18.669,14.605,0,"top"
"C83","1uF/16V","SM0603C",19.939,16.256,-90,"top"
"C84","27pF/50V","SM0402C",19.431,10.414,180,"top"
"C85","27pF/50V","SM0402C",19.304,5.588,180,"top"
"C86","100nF/16V","SM0402C",20.828,21.209,90,"top"
"C87","100nF/16V","SM0402C",20.32,14.605,180,"top"
"C88","100nF/16V","SM0402C",27.94,20.066,0,"top"
"C89","10uF/16V","SM0805C",20.701,22.86,0,"top"
"C90","100nF/16V","SM0402C",18.288,28.956,0,"top"
"D1","TVS_4V","SM0402V",18.415,52.578,180,"top"
"D31","BAT54WS","SOD323",5.334,34.544,90,"top"
"D41","BAT54WS","SOD323",22.479,32.385,180,"top"
"D42","Diode-LED_Green","led-SM0603_Green",24.257,39.751,-90,"top"
"D61","TVS_5V","SOT23-6L",11.684,21.844,0,"top"
"D81","TVS_5V","SOT23-6L",23.9776,6.858,0,"top"
"D82","BAT54WS","SOD323",18.3388,26.924,90,"top"
"D83","BAT54WS","SOD323",16.891,24.257,0,"top"
"D91","TVS_5V","DFN1006-2",4.064,47.752,-90,"top"
"D92","TVS_5V","DFN1006-2",4.064,45.212,-90,"top"
"D93","TVS_5V","DFN1006-2",4.064,42.672,-90,"top"
"D94","TVS_5V","DFN1006-2",4.064,41.021,-90,"top"
"D95","TVS_5V","DFN1006-2",4.064,36.703,90,"top"
"D96","TVS_5V","DFN1006-2",4.064,35.052,-90,"top"
"D97","TVS_5V","DFN1006-2",4.064,32.004,90,"top"
"D98","TVS_5V","DFN1006-2",4.064,29.972,-90,"top"
"D99","TVS_5V","DFN1006-2",4.064,27.305,90,"top"
"D100","TVS_5V","DFN1006-2",4.064,24.892,-90,"top"
"D101","TVS_5V","DFN1006-2",25.4,47.752,-90,"top"
"D102","TVS_5V","DFN1006-2",25.4,46.06925,-90,"top"
"D103","TVS_5V","DFN1006-2",24.892,44.069,0,"top"
"D104","TVS_5V","DFN1006-2",25.4,40.005,90,"top"
"D105","TVS_5V","DFN1006-2",25.4,36.703,90,"top"
"D106","TVS_5V","DFN1006-2",25.019,32.766,0,"top"
"D107","TVS_5V","DFN1006-2",25.019,31.877,0,"top"
"D108","TVS_5V","DFN1006-2",25.019,30.988,0,"top"
